Implemented,Has ArgInfo,Function,Mapped Method,Implementation Comment,Function Comment
,,"Font LoadFontFromMemory(const char *fileType, const unsigned char *fileData, int dataSize, int fontSize, int *fontChars, int charsCount);",TODO,,"Load font from memory buffer, fileType refers to extension: i.e. ""ttf"""
,,"CharInfo *LoadFontData(const unsigned char *fileData, int dataSize, int fontSize, int *fontChars, int charsCount, int type);","raylib\CharInfo::fromFontData(string $fileName, int fontSize, int[] $fontChars, int type)",,Load font data for further use
,,"Image GenImageFontAtlas(const CharInfo *chars, Rectangle **recs, int charsCount, int fontSize, int padding, int packMethod);",TODO,,Generate image font atlas using chars info
,,"void UnloadFontData(CharInfo *chars, int charsCount);",--,use unset(),Unload font chars info data (RAM)
,,void UnloadFont(Font font);,--,use unset(),Unload Font from GPU memory (VRAM)
,,,,,
,,Text drawing functions,,,
,,"void DrawFPS(int posX, int posY);","raylib\Text::drawFps(int $posX, int $posY)",,Shows current FPS
,,"void DrawText(const char *text, int posX, int posY, int fontSize, Color color);","raylib\Text::draw(string $text, int $posX, int $posY, int $fontSize, raylib\Color $color)",,Draw text (using default font)
,,"void DrawTextEx(Font font, const char *text, Vector2 position, float fontSize, float spacing, Color tint);","raylib\Text::drawTextEx(raylib\Font $font, string $text, raylib\Vector2 $position, float $fontSize, float $spacing, raylib\Color $tint)",,Draw text using font and additional parameters
,,"void DrawTextRec(Font font, const char *text, Rectangle rec, float fontSize, float spacing, bool wordWrap, Color tint);",TODO,,Draw text using font inside rectangle limits
,,"void DrawTextRecEx(Font font, const char *text, Rectangle rec, float fontSize, float spacing, bool wordWrap, Color tint, int selectStart, int selectLength, Color selectTint, Color selectBackTint);",TODO,,Draw text using font inside rectangle limits with support for text selection
,,"void DrawTextCodepoint(Font font, int codepoint, Vector2 position, float fontSize, Color tint);",TODO,,Draw one character (codepoint)
,,,,,
,,Text misc. functions,,,
,,"int MeasureText(const char *text, int fontSize);","raylib\Text::measure(string $text, float $fontSize)",,Measure string width for default font
,,"Vector2 MeasureTextEx(Font font, const char *text, float fontSize, float spacing);","raylib\Font->measureText(string $text, float $fontSize, float $spacing)",,Measure string size for Font
,,"int GetGlyphIndex(Font font, int codepoint);",TODO,,Get index position for a unicode character on font
,,,,,
,,"Text strings management functions (no utf8 strings, only byte chars)",,,
,,"int TextCopy(char *dst, const char *src);",--,,"Copy one string to another, returns bytes copied"
,,"bool TextIsEqual(const char *text1, const char *text2);",--,,Check if two text string are equal
,,unsigned int TextLength(const char *text);,--,,"Get text length, checks for '\0' ending"
,,"const char *TextFormat(const char *text, ...);",--,,Text formatting with variables (sprintf style)
,,"const char *TextSubtext(const char *text, int position, int length);",--,,Get a piece of a text string
,,"char *TextReplace(char *text, const char *replace, const char *by);",--,,Replace text string (memory must be freed!)
,,"char *TextInsert(const char *text, const char *insert, int position);",--,,Insert text in a position (memory must be freed!)
,,"const char *TextJoin(const char **textList, int count, const char *delimiter);",--,,Join text strings with delimiter
,,"const char **TextSplit(const char *text, char delimiter, int *count);",--,,Split text into multiple strings
,,"void TextAppend(char *text, const char *append, int *position);",--,,Append text at specific position and move cursor!
,,"int TextFindIndex(const char *text, const char *find);",--,,Find first text occurrence within a string
,,const char *TextToUpper(const char *text);,--,,Get upper case version of provided string
,,const char *TextToLower(const char *text);,--,,Get lower case version of provided string
,,const char *TextToPascal(const char *text);,--,,Get Pascal case notation version of provided string
,,int TextToInteger(const char *text);,--,,Get integer value from text (negative values not supported)
,,"char *TextToUtf8(int *codepoints, int length);",--,,Encode text codepoint into utf8 text (memory must be freed!)
,,,,,
,,UTF8 text strings management functions,,,
,,"int *GetCodepoints(const char *text, int *count);",TODO,,"Get all codepoints in a string, codepoints count returned by parameters"
,,int GetCodepointsCount(const char *text);,TODO,,Get total number of characters (codepoints) in a UTF8 encoded string
,,"int GetNextCodepoint(const char *text, int *bytesProcessed);",TODO,,Returns next codepoint in a UTF8 encoded string; 0x3f('?') is returned on failure
,,"const char *CodepointToUtf8(int codepoint, int *byteLength);",TODO,,Encode codepoint into utf8 text (char array length returned as parameter)
,,,,,
,,Basic geometric 3D shapes drawing functions,,,
,,"void DrawLine3D(Vector3 startPos, Vector3 endPos, Color color);",TODO,,Draw a line in 3D world space
,,"void DrawPoint3D(Vector3 position, Color color);",TODO,,"Draw a point in 3D space, actually a small line"
,,"void DrawCircle3D(Vector3 center, float radius, Vector3 rotationAxis, float rotationAngle, Color color);",TODO,,Draw a circle in 3D world space
,,"void DrawTriangle3D(Vector3 v1, Vector3 v2, Vector3 v3, Color color);",TODO,,Draw a color-filled triangle (vertex in counter-clockwise order!)
,,"void DrawTriangleStrip3D(Vector3 *points, int pointsCount, Color color);",TODO,,Draw a triangle strip defined by points
,,"void DrawCube(Vector3 position, float width, float height, float length, Color color);",TODO,,Draw cube
,,"void DrawCubeV(Vector3 position, Vector3 size, Color color);",TODO,,Draw cube (Vector version)
,,"void DrawCubeWires(Vector3 position, float width, float height, float length, Color color);",TODO,,Draw cube wires
,,"void DrawCubeWiresV(Vector3 position, Vector3 size, Color color);",TODO,,Draw cube wires (Vector version)
,,"void DrawCubeTexture(Texture2D texture, Vector3 position, float width, float height, float length, Color color);",TODO,,Draw cube textured
,,"void DrawSphere(Vector3 centerPos, float radius, Color color);",TODO,,Draw sphere
,,"void DrawSphereEx(Vector3 centerPos, float radius, int rings, int slices, Color color);",TODO,,Draw sphere with extended parameters
,,"void DrawSphereWires(Vector3 centerPos, float radius, int rings, int slices, Color color);",TODO,,Draw sphere wires
,,"void DrawCylinder(Vector3 position, float radiusTop, float radiusBottom, float height, int slices, Color color);",TODO,,Draw a cylinder/cone
,,"void DrawCylinderWires(Vector3 position, float radiusTop, float radiusBottom, float height, int slices, Color color);",TODO,,Draw a cylinder/cone wires
,,"void DrawPlane(Vector3 centerPos, Vector2 size, Color color);",TODO,,Draw a plane XZ
,,"void DrawRay(Ray ray, Color color);",TODO,,Draw a ray line
,,"void DrawGrid(int slices, float spacing);",TODO,,"Draw a grid (centered at (0, 0, 0))"
,,void DrawGizmo(Vector3 position);,TODO,,Draw simple gizmo
,,,,,
,,Model loading/unloading functions,,,
,,Model LoadModel(const char *fileName);,TODO,,Load model from files (meshes and materials)
,,Model LoadModelFromMesh(Mesh mesh);,TODO,,Load model from generated mesh (default material)
,,void UnloadModel(Model model);,TODO,,Unload model (including meshes) from memory (RAM and/or VRAM)
,,void UnloadModelKeepMeshes(Model model);,TODO,,Unload model (but not meshes) from memory (RAM and/or VRAM)
,,,,,
,,Mesh loading/unloading functions,,,
,,"Mesh *LoadMeshes(const char *fileName, int *meshCount);",TODO,,Load meshes from model file
,,void UnloadMesh(Mesh mesh);,TODO,,Unload mesh from memory (RAM and/or VRAM)
,,"bool ExportMesh(Mesh mesh, const char *fileName);",TODO,,"Export mesh data to file, returns true on success"
,,,,,
,,Material loading/unloading functions,,,
,,"Material *LoadMaterials(const char *fileName, int *materialCount);",TODO,,Load materials from model file
,,Material LoadMaterialDefault(void);,TODO,,"Load default material (Supports: DIFFUSE, SPECULAR, NORMAL maps)"
,,void UnloadMaterial(Material material);,TODO,,Unload material from GPU memory (VRAM)
,,"void SetMaterialTexture(Material *material, int mapType, Texture2D texture);",TODO,,"Set texture for a material map type (MAP_DIFFUSE, MAP_SPECULAR...)"
,,"void SetModelMeshMaterial(Model *model, int meshId, int materialId);",TODO,,Set material for a mesh
,,,,,
,,Model animations loading/unloading functions,,,
,,"ModelAnimation *LoadModelAnimations(const char *fileName, int *animsCount);",TODO,,Load model animations from file
,,"void UpdateModelAnimation(Model model, ModelAnimation anim, int frame);",TODO,,Update model animation pose
,,void UnloadModelAnimation(ModelAnimation anim);,TODO,,Unload animation data
,,"bool IsModelAnimationValid(Model model, ModelAnimation anim);",TODO,,Check model animation skeleton match
,,,,,
,,Mesh generation functions,,,
,,"Mesh GenMeshPoly(int sides, float radius);",TODO,,Generate polygonal mesh
,,"Mesh GenMeshPlane(float width, float length, int resX, int resZ);",TODO,,Generate plane mesh (with subdivisions)
,,"Mesh GenMeshCube(float width, float height, float length);",TODO,,Generate cuboid mesh
,,"Mesh GenMeshSphere(float radius, int rings, int slices);",TODO,,Generate sphere mesh (standard sphere)
,,"Mesh GenMeshHemiSphere(float radius, int rings, int slices);",TODO,,Generate half-sphere mesh (no bottom cap)
,,"Mesh GenMeshCylinder(float radius, float height, int slices);",TODO,,Generate cylinder mesh
,,"Mesh GenMeshTorus(float radius, float size, int radSeg, int sides);",TODO,,Generate torus mesh
,,"Mesh GenMeshKnot(float radius, float size, int radSeg, int sides);",TODO,,Generate trefoil knot mesh
,,"Mesh GenMeshHeightmap(Image heightmap, Vector3 size);",TODO,,Generate heightmap mesh from image data
,,"Mesh GenMeshCubicmap(Image cubicmap, Vector3 cubeSize);",TODO,,Generate cubes-based map mesh from image data
,,,,,
,,Mesh manipulation functions,,,
,,BoundingBox MeshBoundingBox(Mesh mesh);,TODO,,Compute mesh bounding box limits
,,void MeshTangents(Mesh *mesh);,TODO,,Compute mesh tangents
,,void MeshBinormals(Mesh *mesh);,TODO,,Compute mesh binormals
,,void MeshNormalsSmooth(Mesh *mesh);,TODO,,Smooth (average) vertex normals
,,,,,
,,Model drawing functions,,,
,,"void DrawModel(Model model, Vector3 position, float scale, Color tint);",TODO,,Draw a model (with texture if set)
,,"void DrawModelEx(Model model, Vector3 position, Vector3 rotationAxis, float rotationAngle, Vector3 scale, Color tint);",TODO,,Draw a model with extended parameters
,,"void DrawModelWires(Model model, Vector3 position, float scale, Color tint);",TODO,,Draw a model wires (with texture if set)
,,"void DrawModelWiresEx(Model model, Vector3 position, Vector3 rotationAxis, float rotationAngle, Vector3 scale, Color tint);",TODO,,Draw a model wires (with texture if set) with extended parameters
,,"void DrawBoundingBox(BoundingBox box, Color color);",TODO,,Draw bounding box (wires)
,,"void DrawBillboard(Camera camera, Texture2D texture, Vector3 center, float size, Color tint);",TODO,,Draw a billboard texture
,,"void DrawBillboardRec(Camera camera, Texture2D texture, Rectangle source, Vector3 center, float size, Color tint);",TODO,,Draw a billboard texture defined by source
,,,,,
,,Collision detection functions,,,
,,"bool CheckCollisionSpheres(Vector3 center1, float radius1, Vector3 center2, float radius2);",TODO,,Detect collision between two spheres
,,"bool CheckCollisionBoxes(BoundingBox box1, BoundingBox box2);",TODO,,Detect collision between two bounding boxes
,,"bool CheckCollisionBoxSphere(BoundingBox box, Vector3 center, float radius);",TODO,,Detect collision between box and sphere
,,"bool CheckCollisionRaySphere(Ray ray, Vector3 center, float radius);",TODO,,Detect collision between ray and sphere
,,"bool CheckCollisionRaySphereEx(Ray ray, Vector3 center, float radius, Vector3 *collisionPoint);",TODO,,"Detect collision between ray and sphere, returns collision point"
,,"bool CheckCollisionRayBox(Ray ray, BoundingBox box);",TODO,,Detect collision between ray and box
,,"RayHitInfo GetCollisionRayMesh(Ray ray, Mesh mesh, Matrix transform);",TODO,,Get collision info between ray and mesh
,,"RayHitInfo GetCollisionRayModel(Ray ray, Model model);",TODO,,Get collision info between ray and model
,,"RayHitInfo GetCollisionRayTriangle(Ray ray, Vector3 p1, Vector3 p2, Vector3 p3);",TODO,,Get collision info between ray and triangle
,,"RayHitInfo GetCollisionRayGround(Ray ray, float groundHeight);",TODO,,Get collision info between ray and ground plane (Y-normal plane)
,,,,,
,,Shader loading/unloading functions,,,
,,"Shader LoadShader(const char *vsFileName, const char *fsFileName);",TODO,,Load shader from files and bind default locations
,,"Shader LoadShaderCode(const char *vsCode, const char *fsCode);",TODO,,Load shader from code strings and bind default locations
,,void UnloadShader(Shader shader);,TODO,,Unload shader from GPU memory (VRAM)
,,,,,
,,Shader GetShaderDefault(void);,TODO,,Get default shader
,,Texture2D GetTextureDefault(void);,TODO,,Get default texture
,,Texture2D GetShapesTexture(void);,TODO,,Get texture to draw shapes
,,Rectangle GetShapesTextureRec(void);,TODO,,Get texture rectangle to draw shapes
,,"void SetShapesTexture(Texture2D texture, Rectangle source);",TODO,,Define default texture used to draw shapes
,,,,,
,,Shader configuration functions,,,
,,"int GetShaderLocation(Shader shader, const char *uniformName);",TODO,,Get shader uniform location
,,"int GetShaderLocationAttrib(Shader shader, const char *attribName);",TODO,,Get shader attribute location
,,"void SetShaderValue(Shader shader, int uniformLoc, const void *value, int uniformType);",TODO,,Set shader uniform value
,,"void SetShaderValueV(Shader shader, int uniformLoc, const void *value, int uniformType, int count);",TODO,,Set shader uniform value vector
,,"void SetShaderValueMatrix(Shader shader, int uniformLoc, Matrix mat);",TODO,,Set shader uniform value (matrix 4x4)
,,"void SetShaderValueTexture(Shader shader, int uniformLoc, Texture2D texture);",TODO,,Set shader uniform value for texture
,,void SetMatrixProjection(Matrix proj);,TODO,,Set a custom projection matrix (replaces internal projection matrix)
,,void SetMatrixModelview(Matrix view);,TODO,,Set a custom modelview matrix (replaces internal modelview matrix)
,,Matrix GetMatrixModelview(void);,TODO,,Get internal modelview matrix
,,Matrix GetMatrixProjection(void);,TODO,,Get internal projection matrix
,,,,,
,,Texture maps generation (PBR),,,
,,"TextureCubemap GenTextureCubemap(Shader shader, Texture2D panorama, int size, int format);",TODO,,Generate cubemap texture from 2D panorama texture
,,"TextureCubemap GenTextureIrradiance(Shader shader, TextureCubemap cubemap, int size);",TODO,,Generate irradiance texture using cubemap data
,,"TextureCubemap GenTexturePrefilter(Shader shader, TextureCubemap cubemap, int size);",TODO,,Generate prefilter texture using cubemap data
,,"Texture2D GenTextureBRDF(Shader shader, int size);",TODO,,Generate BRDF texture
,,,,,
,,Shading begin/end functions,,,
,,void BeginShaderMode(Shader shader);,TODO,,Begin custom shader drawing
,,void EndShaderMode(void);,TODO,,End custom shader drawing (use default shader)
,,void BeginBlendMode(int mode);,TODO,,"Begin blending mode (alpha, additive, multiplied)"
,,void EndBlendMode(void);,TODO,,End blending mode (reset to default: alpha blending)
,,,,,
,,VR control functions,,,
,,void InitVrSimulator(void);,TODO,,Init VR simulator for selected device parameters
,,void CloseVrSimulator(void);,TODO,,Close VR simulator for current device
,,void UpdateVrTracking(Camera *camera);,TODO,,Update VR tracking (position and orientation) and camera
,,"void SetVrConfiguration(VrDeviceInfo info, Shader distortion);",TODO,,Set stereo rendering configuration parameters
,,bool IsVrSimulatorReady(void);,TODO,,Detect if VR simulator is ready
,,void ToggleVrMode(void);,TODO,,Enable/Disable VR experience
,,void BeginVrDrawing(void);,TODO,,Begin VR simulator stereo rendering
,,void EndVrDrawing(void);,TODO,,End VR simulator stereo rendering
,,,,,
,,Audio device management functions,,,
,,void InitAudioDevice(void);,raylib\Audio::initDevice(),,Initialize audio device and context
,,void CloseAudioDevice(void);,raylib\Audio::closeDevice(),,Close the audio device and context
,,bool IsAudioDeviceReady(void);,raylib\Audio::isDeviceReady(),,Check if audio device has been initialized successfully
,,void SetMasterVolume(float volume);,raylib\Audio::setMasterVolume(float $volume),,Set master volume (listener)
,,,,,
,,Wave/Sound loading/unloading functions,,,
,,Wave LoadWave(const char *fileName);,new raylib\Wave(string $fileName),,Load wave data from file
,,"Wave LoadWaveFromMemory(const char *fileType, const unsigned char *fileData, int dataSize);",TODO,,"Load wave from memory buffer, fileType refers to extension: i.e. ""wav"""
,,Sound LoadSound(const char *fileName);,TODO,,Load sound from file
,,Sound LoadSoundFromWave(Wave wave);,TODO,,Load sound from wave data
,,"void UpdateSound(Sound sound, const void *data, int samplesCount);// Update sound buffer with new data",TODO,,Update sound buffer with new data
,,void UnloadWave(Wave wave);,--,use unset(),Unload wave data
,,void UnloadSound(Sound sound);,--,use unset(),Unload sound
,,"bool ExportWave(Wave wave, const char *fileName);",raylib\Wave->export(string $fileName),,"Export wave data to file, returns true on success"
,,"bool ExportWaveAsCode(Wave wave, const char *fileName);",raylib\Wave->exportAsCode(string $fileName),,"Export wave sample data to code (.h), returns true on success"
,,,,,
,,Wave/Sound management functions,,,
,,void PlaySound(Sound sound);,TODO,,Play a sound
,,void StopSound(Sound sound);,TODO,,Stop playing a sound
,,void PauseSound(Sound sound);,TODO,,Pause a sound
,,void ResumeSound(Sound sound);,TODO,,Resume a paused sound
,,void PlaySoundMulti(Sound sound);,TODO,,Play a sound (using multichannel buffer pool)
,,void StopSoundMulti(void);,TODO,,Stop any sound playing (using multichannel buffer pool)
,,int GetSoundsPlaying(void);,TODO,,Get number of sounds playing in the multichannel
,,bool IsSoundPlaying(Sound sound);,TODO,,Check if a sound is currently playing
,,"void SetSoundVolume(Sound sound, float volume);",TODO,,Set volume for a sound (1.0 is max level)
,,"void SetSoundPitch(Sound sound, float pitch);",TODO,,Set pitch for a sound (1.0 is base level)
,,"void WaveFormat(Wave *wave, int sampleRate, int sampleSize, int channels);","raylib\Wave->format(int $sampleRate, int $sampleSize, int $channels)",,Convert wave data to desired format
,,Wave WaveCopy(Wave wave);,raylib\Wave->copy() : raylib\Wave,,Copy a wave to a new wave
,,"void WaveCrop(Wave *wave, int initSample, int finalSample);","raylib\Wave\crop(int $initSample, int $finalSample)",,Crop a wave to defined samples range
,,float *LoadWaveSamples(Wave wave);,TODO,,Load samples data from wave as a floats array
,,void UnloadWaveSamples(float *samples);,--,use unset(),Unload samples data loaded with LoadWaveSamples()
,,,,,
,,Music management functions,,,
,,Music LoadMusicStream(const char *fileName);,TODO,,Load music stream from file
,,void UnloadMusicStream(Music music);,TODO,,Unload music stream
,,void PlayMusicStream(Music music);,TODO,,Start music playing
,,void UpdateMusicStream(Music music);,TODO,,Updates buffers for music streaming
,,void StopMusicStream(Music music);,TODO,,Stop music playing
,,void PauseMusicStream(Music music);,TODO,,Pause music playing
,,void ResumeMusicStream(Music music);,TODO,,Resume playing paused music
,,bool IsMusicPlaying(Music music);,TODO,,Check if music is playing
,,"void SetMusicVolume(Music music, float volume);",TODO,,Set volume for music (1.0 is max level)
,,"void SetMusicPitch(Music music, float pitch);",TODO,,Set pitch for a music (1.0 is base level)
,,float GetMusicTimeLength(Music music);,TODO,,Get music time length (in seconds)
,,float GetMusicTimePlayed(Music music);,TODO,,Get current music time played (in seconds)
,,,,,
,,AudioStream management functions,,,
,,"AudioStream InitAudioStream(unsigned int sampleRate, unsigned int sampleSize, unsigned int channels);",TODO,,Init audio stream (to stream raw audio pcm data)
,,"void UpdateAudioStream(AudioStream stream, const void *data, int samplesCount);",TODO,,Update audio stream buffers with data
,,void CloseAudioStream(AudioStream stream);,TODO,,Close audio stream and free memory
,,bool IsAudioStreamProcessed(AudioStream stream);,TODO,,Check if any audio stream buffers requires refill
,,void PlayAudioStream(AudioStream stream);,TODO,,Play audio stream
,,void PauseAudioStream(AudioStream stream);,TODO,,Pause audio stream
,,void ResumeAudioStream(AudioStream stream);,TODO,,Resume audio stream
,,bool IsAudioStreamPlaying(AudioStream stream);,TODO,,Check if audio stream is playing
,,void StopAudioStream(AudioStream stream);,TODO,,Stop audio stream
,,"void SetAudioStreamVolume(AudioStream stream, float volume);",TODO,,Set volume for audio stream (1.0 is max level)
,,"void SetAudioStreamPitch(AudioStream stream, float pitch);",TODO,,Set pitch for audio stream (1.0 is base level)
,,void SetAudioStreamBufferSizeDefault(int size);,TODO,,Default size for new audio streams
